#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
2   1   15.000000   0.020000   2371.831012  1.693372440000e-03   1.640338010000e-03    7.139515553311e-07   6.915914336649e-07   80
2   2   15.000000   0.060000   2112.479989  3.928791810000e-04   3.735370480000e-04    1.859800722590e-07   1.768239462362e-07   80
2   3   15.000000   0.100000   1790.029039  7.722937770000e-05   7.123320010000e-05    4.314420381870e-08   3.979443827336e-08   80
2   4   15.000000   0.140000   1420.999236  1.686078070000e-05   1.521416380000e-05    1.186543966587e-08   1.070666571421e-08   80
2   5   15.000000   0.180000   1234.109963  4.826088910000e-06   4.286962990000e-06    3.910582569375e-09   3.473728531920e-09   80
2   6   15.000000   0.220000   1134.300837  1.663230060000e-06   1.446499110000e-06    1.466304181172e-09   1.275234102644e-09   80
2   7   15.000000   0.260000   1060.742465  6.663550140000e-07   5.704855320000e-07    6.281967923289e-10   5.378171901509e-10   80
2   8   15.000000   0.300000   1007.965263  3.018507660000e-07   2.576301100000e-07    2.994654449714e-10   2.555942346993e-10   80
2   9   15.000000   0.340000   943.798813  1.586801410000e-07   1.361367400000e-07    1.681292017052e-10   1.442433897191e-10   80
2   11   15.000000   0.420000   3648.759050  1.597664950000e-07   1.358529330000e-07    4.378652928590e-11   3.723264023148e-11   580_set1
2   11   15.000000   0.420000   3692.228705  1.609283240000e-07   1.367864910000e-07    4.358568681893e-11   3.704713383945e-11   580_set2
2   12   15.000000   0.460000   3193.042146  1.000740230000e-07   8.532363180000e-08    3.134127844988e-11   2.672173679476e-11   580_set1
2   12   15.000000   0.460000   3180.312032  9.803521630000e-08   8.400210740000e-08    3.082565965653e-11   2.641316529786e-11   580_set2
2   13   15.000000   0.500000   2749.902637  6.065738570000e-08   5.275399980000e-08    2.205801212154e-11   1.918395185713e-11   580_set2
2   13   15.000000   0.500000   2738.160928  6.009487810000e-08   5.231820050000e-08    2.194716807383e-11   1.910705830508e-11   580_set1
2   14   15.000000   0.540000   2334.571841  3.600318730000e-08   3.142502530000e-08    1.542175171811e-11   1.346072318192e-11   580_set1
2   14   15.000000   0.540000   2328.449695  3.573589770000e-08   3.119133970000e-08    1.534750687410e-11   1.339575416509e-11   580_set2
2   15   15.000000   0.580000   1998.699866  2.174458090000e-08   1.910325700000e-08    1.087936276471e-11   9.557841737505e-12   580_set1
2   15   15.000000   0.580000   1995.716154  2.170342950000e-08   1.904464510000e-08    1.087500818015e-11   9.542762412294e-12   580_set2
2   16   15.000000   0.620000   2667.874223  2.219438180000e-08   1.945480520000e-08    8.319125995019e-12   7.292249774100e-12   750_set2
2   16   15.000000   0.620000   1723.711543  1.330697540000e-08   1.157948470000e-08    7.719954915914e-12   6.717762462649e-12   580_set1
2   16   15.000000   0.620000   1724.334242  1.327751110000e-08   1.159278490000e-08    7.700079704153e-12   6.723049753135e-12   580_set2
2   16   15.000000   0.620000   2530.357630  1.885475780000e-08   1.662876270000e-08    7.451420137793e-12   6.571704530162e-12   750_set1
2   16   15.000000   0.620000   2540.774389  1.789418050000e-08   1.583468360000e-08    7.042805759327e-12   6.232227335317e-12   750_set3
2   17   15.000000   0.660000   1520.299229  8.420709520000e-09   7.416272070000e-09    5.538850089097e-12   4.878166040299e-12   580_set1
2   17   15.000000   0.660000   1516.854852  8.398043920000e-09   7.396400910000e-09    5.536484858078e-12   4.876142829518e-12   580_set2
2   17   15.000000   0.660000   2244.488298  1.200714330000e-08   1.106581840000e-08    5.349612787333e-12   4.930218798583e-12   750_set2
2   17   15.000000   0.660000   2239.507099  1.197812240000e-08   1.112751570000e-08    5.348552994250e-12   4.968734283079e-12   750_set1
2   17   15.000000   0.660000   2214.928168  1.156450710000e-08   1.010575420000e-08    5.221165754753e-12   4.562565209112e-12   750_set3
2   18   15.000000   0.700000   1375.837606  5.473334340000e-09   4.868931140000e-09    3.978183410695e-12   3.538885053561e-12   580_set1
2   18   15.000000   0.700000   1376.257856  5.449790040000e-09   4.844503010000e-09    3.959861167179e-12   3.520054754914e-12   580_set2
2   18   15.000000   0.700000   1932.783030  7.299744520000e-09   6.474725440000e-09    3.776804952597e-12   3.349949445696e-12   750_set3
2   18   15.000000   0.700000   1918.915633  7.124192550000e-09   6.259361280000e-09    3.712613742618e-12   3.261926252700e-12   750_set2
2   18   15.000000   0.700000   1914.412848  7.093574850000e-09   6.222330030000e-09    3.705352718151e-12   3.250255051569e-12   750_set1
2   19   15.000000   0.740000   1284.920885  3.666458420000e-09   3.247724380000e-09    2.853450716540e-12   2.527567586389e-12   580_set2
2   19   15.000000   0.740000   1284.833379  3.639119910000e-09   3.213035870000e-09    2.832367192104e-12   2.500741280944e-12   580_set1
2   19   15.000000   0.740000   1681.311571  4.457670260000e-09   3.963002470000e-09    2.651305288614e-12   2.357089868621e-12   750_set3
2   19   15.000000   0.740000   1681.068718  4.433448430000e-09   3.977197220000e-09    2.637279715296e-12   2.365874266420e-12   750_set2
