#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
8   1   75.000000   0.020000   2454.276623  1.719203250000e-03   1.665949580000e-03    7.004928596429e-07   6.787945435277e-07   80
8   2   75.000000   0.060000   2450.982793  4.536283570000e-04   4.255143130000e-04    1.850801883618e-07   1.736096696457e-07   80
8   3   75.000000   0.100000   2442.075026  9.756269840000e-05   8.693892670000e-05    3.995073753316e-08   3.560043232677e-08   80
8   4   75.000000   0.140000   2408.283771  2.402128410000e-05   1.851280980000e-05    9.974440881618e-09   7.687138045328e-09   80
8   5   75.000000   0.180000   2371.577002  7.091373920000e-06   4.288302420000e-06    2.990151242831e-09   1.808207119728e-09   80
8   6   75.000000   0.220000   2357.483619  2.422855850000e-06   1.452775240000e-06    1.027729665001e-09   6.162398025978e-10   80
8   7   75.000000   0.260000   2364.226426  9.472316500000e-07   5.305843950000e-07    4.006518324908e-10   2.244219881671e-10   80
8   8   75.000000   0.300000   2396.871042  4.276444020000e-07   3.882150950000e-07    1.784177765539e-10   1.619674518142e-10   80
8   9   75.000000   0.340000   2444.053392  2.319751830000e-07   3.291083870000e-07    9.491412248166e-11   1.346567910821e-10   80
8   10   75.000000   0.380000   2500.690882  1.433379500000e-07   3.235840500000e-07    5.731933964000e-11   1.293978605389e-10   80
8   11   75.000000   0.420000   2555.008347  9.752245990000e-08   3.044584690000e-07    3.816913553903e-11   1.191614381055e-10   80
8   12   75.000000   0.460000   2618.747689  7.065007840000e-08   2.157816890000e-07    2.697857403245e-11   8.239880837180e-11   80
8   13   75.000000   0.500000   2673.582929  5.252368380000e-08   1.562235210000e-07    1.964542907208e-11   5.843227053310e-11   80
8   14   75.000000   0.540000   2748.437820  3.984482960000e-08   1.147851570000e-07    1.449726434051e-11   4.176378165252e-11   80
8   15   75.000000   0.580000   2827.278798  3.044374100000e-08   7.809218760000e-08    1.076785954803e-11   2.762097167610e-11   80
8   16   75.000000   0.620000   2940.103413  2.352249620000e-08   5.387133730000e-08    8.000567631735e-12   1.832293961559e-11   80
8   17   75.000000   0.660000   3076.100112  1.839462670000e-08   3.397767250000e-08    5.979853070530e-12   1.104569788462e-11   80
8   18   75.000000   0.700000   3232.134881  1.417533870000e-08   2.101333070000e-08    4.385750973243e-12   6.501378028351e-12   80
8   19   75.000000   0.740000   3380.520358  1.058275350000e-08   1.360925380000e-08    3.130510211233e-12   4.025786671509e-12   80
